id,title,Rating,maincateg,platform,actprice1,norating1,noreviews1,star_5f,star_4f,star_3f,star_2f,star_1f,fulfilled1
2242,Casuals For Men  (Blue),3.8,Men,Flipkart,999,27928,3543,14238,4295,3457,1962,3976,1
20532,Women Black Flats Sandal,3.9,Women,Flipkart,499,3015,404,1458,657,397,182,321,1
10648,Women Gold Wedges Sandal,3.9,Women,Flipkart,999,449,52,229,70,71,33,46,1
20677,Men's Height Increasing High Heel Formal Party Wear Slip-on Boots Slip On For Men  (Tan),3.9,Men,Flipkart,2999,290,40,141,51,49,17,32,1
12593,Loafers For Men  (Tan),3.9,Men,Flipkart,999,2423,326,1265,414,293,143,308,0
11159,Canvas Shoes For Men  (Black),3.9,Men,Flipkart,999,541,72,281,104,69,17,70,0
10680,"Combo Pack Of 2 Casual Shoes Slip On Sneakers For Men  (Blue, Grey)",3.9,Men,Flipkart,2400,824,105,386,199,106,61,72,1
6433,ARYA - DIFFERENT EDGE Bellies For Women  (Purple),4.2,Women,Flipkart,4299,166,24,94,39,12,6,15,1
2794,"Latest Collection, Comfortable & Fashionable Bellies for Women's and Girl's Pack of 1 Bellies For Women  (Pink, Grey)",3.9,Women,Flipkart,499,1816,218,899,360,239,113,208,0
11579,MOCCASSIN Slip On For Men  (Black),3.8,Men,Flipkart,2299,3066,392,1304,803,462,189,308,1
13859,Women Black Wedges Sandal,4.2,Women,Flipkart,279,3048,487,1746,679,348,114,161,1
12260,Long OfficeWear Corporate Casuals For Men  (Black),3.9,Men,Flipkart,999,14247,2102,6921,2924,1976,882,1544,1
18254,Women Black Heels Sandal,3.7,Women,Flipkart,999,508,80,218,88,90,40,72,0
19453,Denill Ankle Length Sneakers Sneakers For Women  (Pink),4.1,Women,Flipkart,999,6806,961,3646,1508,810,335,510,1
8121,Women Grey Heels Sandal,4.2,Women,Flipkart,1990,16,1,10,2,1,3,0,1
9791,Pink Perfect Stylish Girls Casual Shoes Sneakers For Women  (Pink),4.2,Women,Flipkart,999,509,73,288,106,61,17,37,1
7402,Concave 2 Wn s IDP Running Shoes For Women  (Purple),4.3,Women,Flipkart,3999,367,47,206,108,30,6,18,1
3205,SFG-23 Slippers,4.1,Men,Flipkart,319,12936,1598,7030,2850,1453,587,1016,1
14489,Dark Brown Leather Jalsa Jutis For Men  (Brown),3.9,Men,Flipkart,599,374,55,182,75,58,20,39,1
10607,Women Grey Sports Sandal,4.7,Women,Flipkart,1199,6,4,4,2,0,0,0,1
3659,"Women Grey, Orange Sports Sandal",4.3,Women,Flipkart,799,212,41,123,59,12,9,9,1
7625,"White casual, gym,training & Running shoes for men's Running Shoes For Men  (White)",4.2,Men,Flipkart,999,2430,381,1472,397,251,105,205,0
12862,Suede Heart Snake Lux Wn's Slip On Sneakers For Women  (Black),4.4,Women,Flipkart,6999,79,11,59,8,4,2,6,1
13985,Denill Women's Sneaker,3.9,Women,Amazon,449,563,197,10,6,13,28,43,0
10206,Long OfficeWear Corporate Casuals For Men  (Brown),3.9,Men,Flipkart,999,14253,2103,6924,2925,1977,883,1544,1
6889,Pacer Next Sneakers For Women  (Grey),4.3,Women,Flipkart,5499,209,36,124,53,20,4,8,1
17791,Synthetic Leather Casual Partywear New Stylish Boots Shoes For Women's And Girls Boots For Women  (Pink),4.2,Women,Flipkart,1399,1256,182,791,212,114,43,96,1
8920,Monk Strap For Men  (Brown),4.2,Men,Flipkart,4595,498,58,281,116,44,23,34,1
15762,Running Shoes For Men  (Green),4.1,Men,Flipkart,999,57372,8254,32715,10686,6362,2806,4803,0
9762,Men Brown Sandal,4.6,Men,Flipkart,349,20,2,14,4,2,0,0,1
15247,"SM-484 Casuals For Men  (Navy, Orange)",4.2,Men,Flipkart,1399,2958,436,1685,736,259,107,171,0
14490,Men Hawaii Flip Flops,3.7,Men,Flipkart,499,13702,1813,6200,2605,1898,1075,1924,1
3545,For Women  (Gold),3.9,Women,Flipkart,499,71,8,38,10,11,5,7,1
4122,Women Multicolor Flats Sandal,3.9,Women,Flipkart,998,246,34,120,45,37,16,28,1
9075,Women Black Heels Sandal,4.1,Women,Flipkart,999,59,7,34,7,10,4,4,0
17580,Women Beige Heels Sandal,,Women,Flipkart,999,473,68,,119,45,16,,1
15546,Men Blue Clogs Sandal,3.7,Men,Flipkart,1299,3691,427,1577,813,535,264,502,1
16679,Women Brown Wedges Sandal,4,Women,Flipkart,799,561,71,277,135,75,26,48,0
7800,Women Green Flats Sandal,4.1,Women,Flipkart,999,607,63,305,174,70,27,31,1
10314,Women Black Flats Sandal,3.8,Women,Flipkart,499,359,34,168,75,49,21,46,1
20247,Women Black Heels Sandal,4.1,Women,Flipkart,999,1052,182,568,248,121,45,70,1
10068,Java 2 IDP Flip Flops,4.1,Men,Flipkart,2299,679,61,398,135,54,31,61,1
971,Latest morpankh Design Rajasthani Belly Juti for Women and Girls Bellies For Women  (Black),4,Women,Flipkart,880,186,27,167,43,23,11,12,0
3832,Bellies For Women  (Pink),3.8,Women,Flipkart,847,316,41,151,60,42,25,39,1
6052,Derby For Men  (Black),2.8,Men,Flipkart,4999,22,1,7,1,2,5,7,1
12718,ALPHABOUNCE INSTINCT W Running Shoes For Women  (Grey),4.3,Women,Flipkart,8999,76,9,46,18,6,1,5,1
11469,Combo pack of 2 sports and running shoes for men Walking Shoes For Men  (Multicolor),3.6,Men,Flipkart,998,24420,2783,11438,3155,3005,2330,4492,1
10655,Women Brown Wedges Sandal,4.1,Women,Flipkart,999,1029,178,563,228,108,49,79,1
5933,Women Tan Wedges Sandal,3.9,Women,Flipkart,999,116,18,60,23,11,6,16,0
7000,Women Yellow Heels Sandal,3.1,Women,Flipkart,999,18,6,5,4,2,2,5,0
18084,"Women Grey, Orange Sports Sandal",4.3,Women,Flipkart,799,212,41,123,59,12,9,9,1
20918,GO WALK 5-SPARROW Walking Shoes For Men  (Navy),4.3,Men,Flipkart,4999,1057,106,664,206,75,40,72,1
16193,crocs Unisex's Ralen Clogs,4.3,Women,Amazon,995,1,661,8,2,7,20,62,1
6116,WMNS TODOS Running Shoes For Women  (White),4.3,Women,Flipkart,3995,113,17,70,21,13,4,5,1
7581,Women Copper Flats Sandal,4.1,Women,Flipkart,599,66,9,38,10,11,3,4,1
2214,Perfect Stylish Girls Casual Shoes Sneakers For Women  (White),3.9,Women,Flipkart,999,1353,202,698,258,174,77,146,0
19489,LSN012 Loafers For Women  (Blue),4,Women,Flipkart,999,142,22,78,29,12,9,14,1
2592,Genuine Leather Formal Shoes Derby For Men  (Black),3.9,Men,Flipkart,2999,383,54,187,81,46,21,48,1
14541,Genuine Leather Formal Shoes Derby For Men  (Black),3.9,Men,Flipkart,2999,383,54,187,81,46,21,48,1
5584,LSN021 Comfortable Loafers For Women  (Beige),3.8,Women,Flipkart,999,334,49,145,83,50,19,37,1
20002,Sneakers For Women  (Black),4.3,Women,Flipkart,1099,70,11,43,15,7,1,4,1
341,Training & Gym Shoes For Women  (Black),4.4,Women,Flipkart,5066,261,34,313,34,15,6,10,1
10363,Wonder Women Flex Lds4 For Women  (Multicolor),4.2,Women,Flipkart,1599,106,15,60,20,12,3,7,1
12292,Bellies For Women  (Pink),4,Women,Flipkart,799,186,27,102,31,20,14,19,0
19769,Slip On For Men  (Brown),4.2,Men,Flipkart,699,69,9,40,17,4,4,4,0
